Data_Centre_Name,Latitude,Longitude,Climate_Zone,Cooling_System_Type,Ambient_Temperature_C,Relative_Humidity_Pct,IT_Load_MW,Server_Utilisation_Pct,WUE_Litres_Per_kWh,Data_Source,Citation,Cooling_Type_Encoded,Climate_Zone_Encoded
Taipei,25.0,121.5,subtropical,seawater,26.7,67.2,500,85,0.204,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Taipei,25.0,121.5,subtropical,seawater,24.8,62.5,200,75,0.193,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Taipei,25.0,121.5,subtropical,seawater,24.7,73.4,300,55,0.182,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Taipei,25.0,121.5,subtropical,seawater,19.5,87.1,20,65,0.182,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,2
Taipei,25.0,121.5,subtropical,liquid,24.4,73.1,200,85,0.257,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Taipei,25.0,121.5,subtropical,liquid,18.4,84.5,200,75,0.235,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Taipei,25.0,121.5,subtropical,liquid,23.9,76.1,100,95,0.249,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Taipei,25.0,121.5,subtropical,liquid,25.3,89.2,300,55,0.278,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,2
Tokyo,35.7,139.7,temperate,air_side,12.0,71.8,50,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Tokyo,35.7,139.7,temperate,air_side,13.7,79.3,200,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Tokyo,35.7,139.7,temperate,air_side,13.0,62.5,10,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Tokyo,35.7,139.7,temperate,air_side,9.2,54.9,10,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Tokyo,35.7,139.7,temperate,evaporative,11.8,54.8,50,75,0.086,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Tokyo,35.7,139.7,temperate,evaporative,19.6,70.6,20,65,0.445,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Tokyo,35.7,139.7,temperate,evaporative,13.2,55.0,100,40,0.18,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Tokyo,35.7,139.7,temperate,evaporative,9.7,62.4,200,55,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Tokyo,35.7,139.7,temperate,chilled_water,19.8,68.3,10,40,0.745,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Tokyo,35.7,139.7,temperate,chilled_water,14.4,65.6,20,75,0.626,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Tokyo,35.7,139.7,temperate,chilled_water,15.8,73.3,50,85,0.662,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Tokyo,35.7,139.7,temperate,chilled_water,14.6,70.5,200,65,0.643,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Tokyo,35.7,139.7,temperate,seawater,11.4,59.4,100,95,0.126,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Tokyo,35.7,139.7,temperate,seawater,13.7,61.1,20,75,0.144,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Tokyo,35.7,139.7,temperate,seawater,12.2,71.8,200,55,0.149,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Tokyo,35.7,139.7,temperate,seawater,11.9,68.6,200,85,0.141,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Tokyo,35.7,139.7,temperate,liquid,13.9,65.9,50,65,0.207,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Tokyo,35.7,139.7,temperate,liquid,12.2,77.4,500,85,0.191,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Tokyo,35.7,139.7,temperate,liquid,12.1,54.3,10,95,0.169,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Tokyo,35.7,139.7,temperate,liquid,23.8,70.5,10,40,0.239,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Seoul,37.5,127.0,temperate,air_side,13.2,60.1,50,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Seoul,37.5,127.0,temperate,air_side,17.2,66.6,200,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Seoul,37.5,127.0,temperate,air_side,17.5,71.3,100,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Seoul,37.5,127.0,temperate,air_side,15.9,67.6,200,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Seoul,37.5,127.0,temperate,evaporative,11.5,66.9,20,75,0.016,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Seoul,37.5,127.0,temperate,evaporative,12.5,72.1,20,85,0.038,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Seoul,37.5,127.0,temperate,evaporative,17.5,61.2,20,40,0.354,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Seoul,37.5,127.0,temperate,evaporative,18.1,46.3,500,95,0.476,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Seoul,37.5,127.0,temperate,chilled_water,13.1,65.0,300,75,0.594,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Seoul,37.5,127.0,temperate,chilled_water,13.9,70.2,100,40,0.63,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Seoul,37.5,127.0,temperate,chilled_water,15.6,77.3,500,95,0.678,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Seoul,37.5,127.0,temperate,chilled_water,15.2,65.5,10,85,0.637,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Seoul,37.5,127.0,temperate,liquid,14.7,65.1,200,65,0.195,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Seoul,37.5,127.0,temperate,liquid,11.7,59.4,100,95,0.165,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Seoul,37.5,127.0,temperate,liquid,17.6,79.5,10,40,0.22,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Seoul,37.5,127.0,temperate,liquid,16.9,57.1,100,75,0.193,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Beijing,39.9,116.4,continental,air_side,7.6,49.3,20,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,4
Beijing,39.9,116.4,continental,air_side,5.0,44.7,500,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,4
Beijing,39.9,116.4,continental,air_side,5.5,65.4,100,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,4
Beijing,39.9,116.4,continental,air_side,11.9,49.4,200,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,4
Beijing,39.9,116.4,continental,evaporative,14.2,56.4,500,85,0.218,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,4
Beijing,39.9,116.4,continental,evaporative,10.0,46.3,50,75,0.048,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,4
Beijing,39.9,116.4,continental,evaporative,10.8,69.9,300,40,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,4
Beijing,39.9,116.4,continental,evaporative,8.5,72.1,200,65,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,4
Beijing,39.9,116.4,continental,chilled_water,6.8,58.9,200,75,0.53,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,4
Beijing,39.9,116.4,continental,chilled_water,11.5,62.7,300,40,0.568,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,4
Beijing,39.9,116.4,continental,chilled_water,7.5,57.6,20,65,0.527,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,4
Beijing,39.9,116.4,continental,chilled_water,16.1,55.9,300,95,0.659,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,4
Beijing,39.9,116.4,continental,liquid,6.9,57.8,50,85,0.183,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,4
Beijing,39.9,116.4,continental,liquid,12.6,61.9,50,65,0.191,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,4
Beijing,39.9,116.4,continental,liquid,13.2,45.9,20,55,0.153,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,4
Beijing,39.9,116.4,continental,liquid,3.9,62.9,500,95,0.192,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,4
Shanghai,31.2,121.5,temperate,air_side,16.9,70.2,50,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Shanghai,31.2,121.5,temperate,air_side,13.6,62.7,10,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Shanghai,31.2,121.5,temperate,air_side,9.4,74.6,20,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Shanghai,31.2,121.5,temperate,air_side,9.9,67.9,50,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Shanghai,31.2,121.5,temperate,evaporative,14.2,67.8,200,55,0.161,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Shanghai,31.2,121.5,temperate,evaporative,12.4,58.5,20,85,0.099,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Shanghai,31.2,121.5,temperate,evaporative,19.0,84.1,200,95,0.354,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Shanghai,31.2,121.5,temperate,evaporative,13.1,80.7,10,65,0.031,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Shanghai,31.2,121.5,temperate,chilled_water,16.6,60.0,300,85,0.654,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Shanghai,31.2,121.5,temperate,chilled_water,15.7,71.4,500,75,0.669,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Shanghai,31.2,121.5,temperate,chilled_water,9.5,75.9,300,65,0.581,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Shanghai,31.2,121.5,temperate,chilled_water,13.3,71.9,300,95,0.628,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Shanghai,31.2,121.5,temperate,liquid,9.2,66.6,300,85,0.165,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Shanghai,31.2,121.5,temperate,liquid,9.7,74.5,20,95,0.186,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Shanghai,31.2,121.5,temperate,liquid,11.7,62.2,300,55,0.178,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Shanghai,31.2,121.5,temperate,liquid,16.7,75.7,100,40,0.197,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Mumbai,19.1,72.9,tropical,air_side,26.7,94.7,500,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Mumbai,19.1,72.9,tropical,air_side,26.0,83.8,300,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Mumbai,19.1,72.9,tropical,air_side,23.8,86.5,50,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Mumbai,19.1,72.9,tropical,air_side,26.5,83.4,50,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Mumbai,19.1,72.9,tropical,evaporative,33.4,81.4,10,40,1.143,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Mumbai,19.1,72.9,tropical,evaporative,30.5,68.6,50,85,1.056,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Mumbai,19.1,72.9,tropical,evaporative,25.3,87.1,100,55,0.667,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Mumbai,19.1,72.9,tropical,evaporative,33.1,69.8,10,95,1.2,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Mumbai,19.1,72.9,tropical,chilled_water,27.6,78.7,50,55,0.909,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Mumbai,19.1,72.9,tropical,chilled_water,30.3,98.0,200,75,1.005,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Mumbai,19.1,72.9,tropical,chilled_water,29.7,80.4,50,40,0.965,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Mumbai,19.1,72.9,tropical,chilled_water,26.2,77.9,10,95,0.878,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Mumbai,19.1,72.9,tropical,seawater,26.2,86.7,50,65,0.212,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Mumbai,19.1,72.9,tropical,seawater,27.0,87.2,200,55,0.204,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Mumbai,19.1,72.9,tropical,seawater,30.6,79.4,300,95,0.243,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Mumbai,19.1,72.9,tropical,seawater,26.8,86.4,500,85,0.223,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Mumbai,19.1,72.9,tropical,liquid,29.0,80.2,10,55,0.29,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Mumbai,19.1,72.9,tropical,liquid,21.4,63.7,50,95,0.246,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Mumbai,19.1,72.9,tropical,liquid,23.6,91.2,50,75,0.27,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Mumbai,19.1,72.9,tropical,liquid,26.8,95.6,200,65,0.285,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Bangalore,12.9,77.6,tropical,air_side,30.9,87.8,10,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Bangalore,12.9,77.6,tropical,air_side,26.7,85.8,20,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Bangalore,12.9,77.6,tropical,air_side,28.3,74.4,10,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
